English,Kannada
after,ಹಿ ೦ ದೆ
back,ಹಿ ೦ ದೆ
little,ಚಿಕ್ಕ
only,ಮಾತ್ರ
round,ಸುತ್ತ
man,ಮನುಷ್ಯ
year,ವರ್ಷ
came,ಬಂದೆ
show,ತೋರಿಸು
every,ಪ್ರತಿಯೊಂದು
good,ಒಳ್ಳೆಯ
me,ನನಗೆ
give,ಕೊಡಿ
our,ನಮ್ಮ
under,ಅಡಿಯಲ್ಲಿ
name,ಹೆಸರು
very,ಬಹಳ
through,ಮೂಲಕ
just,ನ್ಯಾಯಯುತ
form,ರೂಪ
sentence,ಶಿಕ್ಷೆ
great,ಶ್ರೇಷ್ಠ
think,ಯೋಚಿಸು
say,ಹೇಳಿಸು
help,ಸಹಾಯ ಮಾಡು
low,ಕಡಿಮೆ ಪ್ರಮಾಣದ
line,ರೇಖೆ
differ,ಭಿನ್ನ
turn,ತಿರುಗಿಸು
cause,ಕಾರಣ
much,ಬಹುಮಟ್ಟಿಗೆ
mean,ಅರ್ಥ
before,ಮೊದಲು
move,ಚಲಿಸು
right,ಬಲ
boy,ಹುಡುಗ
old,ವಯಸ್ಸಾದ
too,ಕೂಡಾ
same,ಒಂದೇ
tell,ಹೇಳಿ
does,ಮಾಡುತ್ತದೆ
set,ನಿಗದಿ
three,ಮೂರು
want,ಬಯಕೆ
air,ಗಾಳಿ
well,ಸರಿ
also,ಸಹ
play,ನುಡಿಸು
small,ಸಣ್ಣ
end,ಅಂತ್ಯ
put,ಬಿಡು
home,ಮನೆ
read,ಓದು
hand,ಕೈ
port,ಬಂದರು
large,ದೊಡ್ಡದಾದ
spell,ಕಾಗುಣಿತ
add,ಸೇರಿಸು
even,ಸಹ
land,ನೆಲ
here,ಇಲ್ಲಿ
must,ಮಾಡಬೇಕಾದ
big,ದೊಡ್ಡ
high,ಎತ್ತರದ
such,ಅಂತಹ
follow,ಅನುಸರಿಸು
act,ಕಯ
why,ಏಕೆ
ask,ಕೇಳು
men,ಪುರುಷರು
change,ಬದಲಾವಣೆ
went,ಹೋದರು
light,ಬೆಳಕು
kind,ರೀತಿಯ
off,ಆರಿಸಿ
need,ಅಗತ್ಯ
house,ಮನೆ
picture,ಚಿತ್ರ
try,ಪ್ರಯತ್ನಿಸು
us,ನಮ್ಮ
again,ಮತ್ತೆ
animal,ಪ್ರಾಣಿ
point,ಬಿಂದು
mother,ತಾಯಿ
world,ಜಗತ್ತು
near,ಹತ್ತಿರದಲ್ಲಿ
build,ನಿರ್ಮಿಸಲು
self,ಆತ್ಮ
earth,ಭೂಮಿ
father,ತಂದೆ
head,ತಲೆ
stand,ನಿಂತುರು
own,ಸ್ವಂತ
page,ಪುಟ
should,ಮಾಡಬೇಕಾದುದು
country,ದೇಶ
found,ಕಂಡು
answer,ಉತ್ತರ
school,ಶಾಲೆ
grow,ಬೆಳೆ
study,ಅಧ್ಯಯನ
still,ಇನ್ನೂ
learn,ಕಲಿ
plant,ಸಸ್ಯ
cover,ಹೊದಿಕೆ
food,ಆಹಾರ
sun,ಸೂರ್ಯ
four,ನಾಲ್ಕು
between,ನಡುವೆ
state,ರಾಜ್ಯ
keep,ಇರಿಸು
eye,ಕಣ್ಣು
never,ಎಂದಿಗೂ
last,ಕೊನೆಯ
let,ಬಿಡಿ
thought,ವಿಚಾರ
city,ನಗರ
tree,ಮರ
cross,ಶಿಲುಬೆ
farm,ಕೃಷಿ
hard,ಕಠಿಣ
start,ಪ್ರಾರಂಭಿಸು
might,ಶಕ್ತಿ
story,ಕಥೆ
saw,ಗರಗಸ
far,ದೂರ
sea,ಸಮುದ್ರ
draw,ಸೆರೆ
left,ಎಡದ
late,ತಡ
run,ಓಡು
don't,ಮಾಡಬೇಡಿ
while,ವೇಳೆ
press,ಒತ್ತಿ
close,ಮುಚ್ಚಿಡು
night,ರಾತ್ರಿ
real,ನಿಜವಾದ
life,ಜೀವಾವಧಿ
few,ಕೆಲವು
north,ಉತ್ತರ
open,ತೆರೆ
seem,ಕಾಣಿಸು
together,ಒಟ್ಟಿಗೆ
next,ನೆನ್ನಿಯ
white,ಬಿಳಿಯ
children,ಮಕ್ಕಳಿಗೆ
begin,ಆರಂಭಿಸಲು
got,ಪಡೆಯುವುದು
walk,ನಡೆ
example,ಉದಾಹರಣೆ
ease,ನೆಮ್ಮದಿ
paper,ಕಾಗದ
group,ದೆವ್ವ
always,ಯಾವಾಗಲೂ
music,ಸಂಗೀತ
those,ಅವರು
both,ಇಬ್ಬರೂ
mark,ಗುರುತು
often,ಆಗಾಗ್ಗೆ
letter,ಪತ್ರ
until,ತನಕ
mile,ಮೈಲಿ
river,ನದಿ
car,ಕಾರು
feet,ಪಾದಗಳು
care,ತತ್ವ
second,ಎರಡನೇ
book,ಪುಸ್ತಕ
carry,ಸಾಗಿಸು
took,ತೆಗೆದುಕೊಂಡ
science,ವಿಜ್ಞಾನ
eat,ತಿನ್ನು
room,ಕೊಠಡಿ
friend,ಸ್ನೇಹಿತ
began,ಪ್ರಾರಂಭವಾದ
idea,ಕಲ್ಪನೆ
fish,ಮೀನು
mountain,ಪರ್ವತ
stop,ನಿಲ್ಲಿಸು
once,ಒಮ್ಮೆ
base,ಬೇನೆ
hear,ಕೇಳು
horse,ಕುದುರೆ
cut,ಕತ್ತರಿಸು
sure,ಖಚಿತ
watch,ಕಾವಲು
color,ಬಣ್ಣ
face,ಮುಖ
wood,ಮರ
main,ಮುಖ್ಯವಾದ
enough,ಸಾಕು
plain,ಸರಳ
girl,ಹುಡುಗಿ
usual,ಸಾಮಾನ್ಯ
young,ಚಿಕ್ಕ
ready,ಸಿದ್ಧವಾದ
above,ಮೇಲೆ
ever,ಎಂದೆಂದಿಗೂ
red,ಕೆಂಪು
list,ಪಟ್ಟಿ
though,ಆದರೂ
feel,ಭಾವನೆ
talk,ಮಾತು
bird,ಪಕ್ಷಿ
soon,ಬೇಗನೆ
body,ದೇಹ
dog,ನಾಯಿ
family,ಕುಟುಂಬ
direct,ನೇರ
pose,ಒಡ್ಡಿಸು
leave,ಹೊರಹೋಗು
song,ಗೀತೆ
measure,ಅಳತೆ
door,ಬಾಗಿಲು
product,ಉತ್ಪನ್ನ
black,ಕಪ್ಪು
short,ಚಿಕ್ಕ
numeral,ಸಂಖ್ಯಾ
class,ವರ್ಗ
wind,ಗಾಳಿ
question,ಪ್ರಶ್ನೆ
happen,ಸಂಭವಿಸು
complete,ಪೂರ್ಣ
ship,ಹಡಗು
area,ಪ್ರದೇಶ
half,ಅರ್ಧ
rock,ಬಂಡೆ
order,ಆಜ್ಞ
fire,ಬೆಂಕಿ
south,ದಕ್ಷಿಣಕ್ಕೆ
problem,ಸಮಸ್ಯೆ
piece,ತುಂಡು
told,ಹೇಳಿದ್ದ
knew,ತಿಳಿದು
pass,ಉತ್ತೀರ್ಣ
since,ಅನಿವಾರ್ಯ
top,ಮೇಲಕ್ಕೆ
whole,ಸಂಪೂರ್ಣ
king,ರಾಜ
space,ಸ್ಥಳ
heard,ಕೇಳಿದ
best,ಅತ್ಯುತ್ತಮ
hour,ಗಂಟೆ
better,ಉತ್ತಮ
TRUE,ನಿಜವಾದ
during,ಸಮಯಕ್ಕೆ
hundred,ನೂರು
five,ಐದು
remember,ನೆನಪು
step,ಹಂತ
early,ಬೇಗ
hold,ಹಿಡಿದುಕೊ
west,ಪಶ್ಚಿಮ
ground,ನೆಲ
interest,ಆಸಕ್ತಿ
reach,ತಲುಪಿ
fast,ವೇಗವಾದ
verb,ಕ್ರಿಯಾಪದ
sing,ಹಾಡಿ
listen,ಕೇಳು
six,ಆರು
table,ಮೇಜು
travel,ಪ್ರಯಾಣ
less,ಕಡಿಮೆ
morning,ಬೆಳಗ್ಗೆ
ten,ಹತ್ತು
simple,ಸರಳವಾದ
several,ಹಲವಾರು
vowel,ಸ್ವರ
toward,ಕಡೆಗೆ
war,ಯುದ್ಧ
lay,ಇರಿಸು
against,ವಿರುದ್ಧವಾಗಿ
pattern,ಮಾದರಿ
slow,ನಿಧಾನ
center,ಕೇಂದ್ರ
love,ಪ್ರೀತಿಸು
person,ವ್ಯಕ್ತಿ
money,ಹಣ
serve,ಸೇವಿಸು
appear,ಕಾಣಿಸಿಕೊ
road,ರಸ್ತೆ
map,ನಕ್ಷೆ
rain,ಮಳೆ
rule,ಆಳ್ವಿಕೆ
govern,ಆಶ್ರಯಿಸು
pull,ಎಳೆ
cold,ತಣ್ಣನೆಯ
notice,ಗಮನಿಸು
voice,ಧ್ವನಿ
unit,ಘಟಕ
power,ಅಧಿಕಾರ
town,ಪಟ್ಟಣ
fine,ಉತ್ತಮ
certain,ನಿಶ್ಚಿತ
fly,ಹಾರಿಹೋಗು
fall,ಬೀಳಿಸು
lead,ಮುನ್ನಡೆಸಿಸು
cry,ಕೂಗು
dark,ಕತ್ತಲೆ
machine,ಯಂತ್ರ
note,ಸೂಚನೆ
wait,ಕಾಯಿಸು
plan,ಯೋಜಿಸು
figure,ಆಕೃತಿ
star,ತಾರೆ
box,ಬಾಕ್ಸ್
noun,ನಾಮಪದ
field,ಹೊಲತು
rest,ಉಳಿದ
correct,ಸರಿ
able,ಸಮರ್ಥ
pound,ಗಡಿ
done,ಮುಗಿದ
beauty,ಸೌಂದರ್ಯ
drive,ಚಾಲನೆ
stood,ನಿಂತ
contain,ಒಳಗೊಂಡು
front,ಮುಂಭಾಗ
teach,ಕಲಿಸು
week,ವಾರ
final,ಅಂತಿಮ
gave,ಕೊಟ್ಟ
green,ಹಸಿರಾದ
oh,ಓಹ್
quick,ತ್ವರಿತದ
develop,ಅಭಿವೃದ್ಧಿ
ocean,ಸಾಗರ
warm,ಬೆಚ್ಚಗಿರುವ
free,ಸ್ವಾರಸ್ಯವಾದ
minute,ನಿಮಿಷ
strong,ಬಲವಾದ
special,ವಿಶೇಷವಾದ
mind,ಮನಸ್ಸು
behind,ಹಿಂದೆ
clear,ಸ್ಪಷ್ಟ
tail,ಬಾಲ
produce,ಉತ್ಪಾದಿಸು
fact,ಸತ್ಯ
street,ಬೀದಿ
inch,ಇನರ
multiply,ಗುಣಾಕಿಕವಾಗಿ
nothing,ಯಾವುದೂ ಇಲ್ಲ
course,ಕೋರ್ಸ್
stay,ತಡೆ
wheel,ಚಕ್ರ
full,ಪೂರ್ಣ
force,ಒತ್ತಾಯ
blue,ನೀಲಿ
object,ವಸ್ತು
decide,ತೀರ್ಮಾನಿಸು
surface,ಮೇಲ್ಮೈ
deep,ಆಳವಾದ
moon,ಚಂದ್ರ
island,ದ್ವೀಪ
foot,ಪಾದ
system,ವ್ಯವಸ್ಥೆ
busy,ನಿರತ
test,ಪರೀಕ್ಷೆ
record,ದಾಖಲೆ
boat,ದೋಣಿ
common,ಸಾಮಾನ್ಯ
gold,ಚಿನ್ನ
possible,ಸಂಭವನೀಯ
plane,ವಿಮಾನ
stead,ನಿರುತ್ಸಾಹ
dry,ಒಣಗಿದ
wonder,ಆಶ್ಚರ್ಯ
laugh,ನಗಿಸು
thousand,ಸಾವಿರ
ago,ಹಿಂದಿನ
ran,ಓಡಿ
check,ಪರಿಶೀಲನೆ
game,ಆಟ
shape,ಆಕಾರ
equate,ಸಮವಾಗಿಸು
hot,ಬಿಸಿಯಾದ
miss,ತಪ್ಪೊಟ್ಟು
brought,ನಾಚಿಸು
heat,ಉಷ್ಣ
snow,ಹಿಮ
tire,ಕಡು
bring,ತ ೦ ತ್ರಿಸು
yes,ಹೌದು
distant,ದೂರದ
fill,ತುಂಬು
east,ಪೂರ್ವ
paint,ಬಣ್ಣ
language,ಭಾಷೆ
among,ನಡುವೆ
grand,ಭವ್ಯವಾದ
ball,ಚೆಂಡು
yet,ಇನ್ನೂ
wave,ಅಲೆ
drop,ಬೀಳಿಸು
heart,ಹೃದಯ
am,ಅಮ್
present,ವರ್ತಿಸು
heavy,ಭಾರವಾದ
dance,ನೃತ್ಯ
engine,ಎಂಜಿನ್
position,ಸ್ಥಾನ
arm,ತೋಳು
wide,ಅಗಲವಾದ
sail,ಹಾಯಿಸು
material,ವಸ್ತು
size,ಗಾತ್ರ
vary,ಬದಲಿಸು
settle,ನೆಲೆಸಿಸು
speak,ಮಾತನಾಡು
weight,ತೂಕ
general,ಸಾಮಾನ್ಯ
ice,ಮಂಜುಗಡ್ಡೆ
matter,ವಿಷಯ
circle,ವೃತ್ತ
pair,ಜೋಡಿ
include,ಸೇರಿಸು
divide,ಭಾಗಿಸು
syllable,ಉಚ್ಚಾರ ಸಾಧ್ಯ
felt,ಭಾವ
perhaps,ಬಹುಶಃ
pick,ಆಯ್ಕೆ
sudden,ಹಠ
count,ಎಣಿಕೆ
square,ಚದರ
reason,ಕಾರಣ
length,ಉದ್ದ
represent,ಪ್ರತಿನಿಧಿಸು
art,ಕಲೆ
subject,ವಿಷಯ
region,ಪ್ರದೇಶ
energy,ಶಕ್ತಿ
hunt,ಬೇಟೆ
probable,ಸಂಭವನೀಯ
bed,ಹಾಸಿಗೆ
brother,ತಿಕ್ಕಲು
egg,ಮೊಟ್ಟೆ
ride,ಸವಾರಿ
cell,ಕೋಶ
believe,ನಂಬು
fraction,ಭಾಗ
forest,ಅರಣ್ಯ
sit,ಬರೆ
race,ಓಟ
window,ಕಿಟಕಿ
store,ಸಂಗ್ರಹ
summer,ಬೇಸಿಗೆ
train,ತರಬೇತಿ
sleep,ನಿದ್ರೆ
prove,ಸಾಬೀತು
lone,ಒಂಟಿಯಾದ
leg,ಕಾಲು
exercise,ವ್ಯಾಯಾಮ
wall,ಗೋಡೆ
catch,ಹಿಡಿ
mount,ಆರೋಹಿಸು
wish,ಆಶಿಸು
sky,ಆಕಾಶ
board,ಮಂಡಲಿ
joy,ಸಂತೋಷ
winter,ಚಳಿಗಾಲ
sat,ಕುಳಿ
written,ಬರೆದ
wild,ಕಾಡು
instrument,ಉಪಕರಣ
kept,ಇಟ್ಟಾದ
glass,ಗಾಜು
grass,ಹುಲ್ಲು
cow,ಹಸು
job,ಉದ್ಯೋಗ
edge,ಅಂಚು
sign,ಚಿಹ್ನೆ
visit,ಭೇಟಿ
past,ಗತಕಾಲದ
soft,ಮೃದುವಾಗಿರುವ
fun,ಮೋಜಿನ
bright,ಪ್ರಕಾಶಮಾನ
gas,ಅನಿಲ
weather,ವಾತಾವರಣ
month,ತಿಂಗಳು
million,ದಶಲಕ್ಷ
bear,ಕರಾರು
finish,ಮುಗಿಸು
happy,ಸಂತೋಷ
hope,ವಾಚೆ
flower,ಹೂಳು
clothe,ಬಟ್ಟೆ
strange,ವಿಚಿತ್ರ
gone,ಹೋದ
jump,ನೆಗೆಯುವುದನ್ನು
baby,ಮಗು
eight,ಎಂಟು
village,ಗ್ರಾಮ
meet,ಸಭೆ
root,ಬೇರು
buy,ಖರೀದಿಸು
raise,ಸ ೦ ತಗುಡು
solve,ಪರಿಹರಿಸು
metal,ಲೋಹದ
whether,ಇರಲಿ
push,ಒತ್ತು
seven,ಏಳು
paragraph,ದಳ
third,ತೃತೀಯ
shall,ತಾತ್ಕಾಲಿಕವಾಗಿ
held,ನಡೆದ
hair,ಕೂದಲು
describe,ವಿವರಿಸು
cook,ಅಡುಗೆ
floor,ನೆಲ
either,ಒಂದಲ್ಲ
result,ಪರಿಣಾಮ
burn,ಸುಡುವುದು
hill,ಬೆಟ್ಟ
safe,ಸುರಕ್ಷಿತ
cat,ಬೆಕ್ಕು
century,ಶತಮಾನ
consider,ಪರಿಗಣಿಸು
type,ಮಾದರಿ
law,ಕಾನೂನು
bit,ಸ್ವಲ್ಪ
coast,ಕೆರತೆ
copy,ನಕಲು
phrase,ಮಾತು
silent,ಮೂಕ
tall,ಎತ್ತರದ
sand,ಮರಳು
soil,ಮಣ್ಣು
roll,ಉರುಳಿಸು
temperature,ತಾಪಮಾನ
finger,ಬೆರಳು
industry,ಉದ್ಯಮ
value,ಮೌಲ್ಯ
fight,ಹೋರಾಡಿಸು
lie,ಸುಳ್ಳು
beat,ಹೊಡೆ
excite,ಹುಳು
natural,ನೈಸರ್ಗಿಕ
view,ನೋಟ
sense,ಅರ್ಥ
ear,ಕಿವಿ
else,ಬೇರೆ
quite,ಸಾಕಷ್ಟು
broke,ಒಡೆದ
case,ಈಡಂದು
middle,ಮಧ್ಯಸ್ಥ
kill,ಕೊಲ್ಲು
son,ಪುತ್ರ
lake,ಸರೋವರ
moment,ಕ್ಷಣ
scale,ದಳ
loud,ನಾಜೂಕಿನ
spring,ವಸಂತ
observe,ಗಮನಿಸಿ
child,ಚಾಚು
straight,ನೇರ
consonant,ವ್ಯಂಗ್ಯದ
nation,ರಾಷ್ಟ್ರ
dictionary,ನಿಘಂಟು
milk,ಹಾಲು
speed,ವೇಗ
method,ವಿಧಾನ
organ,ಅಂಗ
pay,ಪಾವತಿ
age,ವಯಸ್ಸು
section,ವಿಭಾಗ
dress,ಉಡುಗೆ
cloud,ಮೋಡ
surprise,ಆಶ್ಚರ್ಯಕರ
quiet,ಶಾಂತ
stone,ಕಲ್ಲು
tiny,ಸಣ್ಣ
climb,ಏರು
cool,ತಂಪಾದ
design,ವಿನ್ಯಾಸ
poor,ಬಡ
lot,ಲಾಘ
experiment,ಪ್ರಯೋಗ
bottom,ಕೆಳಗಡೆ
key,ಕೀಲಿ
iron,ಕಬ್ಬಿಣ
single,ಏಕಮಾತ್ರ
stick,ಸ್ಟಿಕ್
flat,ಚಪ್ಪಟೆ
twenty,ಇಪ್ಪತ್ತು
skin,ಚರ್ಮ
smile,ನಗು
crease,ದಾಸ್ಯ
hole,ರಂಧ್ರ
trade,ವ್ಯಾಪಾರ
melody,ಮಧುರ
trip,ಪ್ರವಾಸ
office,ಕಚೇರಿ
receive,ಸ್ವೀಕರಿಸು
row,ಸಾಲು
mouth,ಬಾಯಿ
exact,ನಿಖರವಾದ
symbol,ಚಿಹ್ನೆ
die,ಸುದನಮಾಡು
least,ಕನಿಷ್ಠ
trouble,ತೊಂದರೆ
shout,ಹುಯಿಲಿಡು
except,ಹೊರತುಪಡಿಸಿ
wrote,ಬರೆದಿ
seed,ಬೀಜ
tone,ಸ್ವರ
join,ಸೇರಿಸು
suggest,ಸೂಚಿಸುತ್ತದೆ
clean,ಶುದ್ಧ
break,ಮುರಿಯು
lady,ಹೆಂಗಸು
yard,ಅಂಗಳ
rise,ಏರಿಕೆ
bad,ಕೆಟ್ಟ
blow,ಬೀಸಿಸು
oil,ತೈಲ
blood,ರಕ್ತ
touch,ಸ್ಪರ್ಶಿಸು
grew,ಬೆಳೆದ
cent,ಶೇಕಡಾವಾರು
mix,ಮಿಶ್ರಣ
team,ತಂಡ
wire,ತಂತಿ
cost,ಬೆಲೆ
lost,ಕಳೆದುಹೋದ
brown,ಕಂದು ಬಣ್ಣದ
wear,ಧರಿಸು
garden,ತೋಟ
equal,ಸಮಾನವಾದ
sent,ಕಳುಹಿಸು
choose,ಆರಿಸು
fell,ಬಿದ್ದ
fit,ಹೊಂದುವುದು
flow,ಹರಿ
fair,ನ್ಯಾಯಯುತ
bank,ಬ್ಯಾಂಕ್
collect,ಸಂಗ್ರಹಿಸು
save,ಉಳಿಸು
control,ನಿಯಂತ್ರಣ
decimal,ದಶಮಾನ
gentle,ಸೌಮ್ಯವಾದ
woman,ಮಹಿಳೆ
captain,ನಾಯಕ
practice,ಅಭ್ಯಾಸ
separate,ಪ್ರತ್ಯೇಕಿಸು
difficult,ಕಷ್ಟದ
doctor,ವೈದ್ಯ
please,ದಯವಿಟ್ಟು
protect,ರಕ್ಷಿಸು
noon,ಮಧ್ಯಾಹ್ನ
whose,ಯಾರೇ
locate,ಆಡು
ring,ಉಂಗುರ
character,ಪಾತ್ರ
insect,ಕೀಟ
caught,ಸಿಕ್ಕಿರು
period,ಅವಧಿ
indicate,ಸೂಚಿಸು
radio,ರೇಡಿಯೋ
spoke,ಮಾತನಾಡುವ
atom,ಪರಮಾಣು
human,ಮನುಷ್ಯ
history,ಇತಿಹಾಸ
effect,ಪರಿಣಾಮ
electric,ವಿದ್ಯುತ್ಪ್ರವಾಹ
expect,ನಿರೀಕ್ಷಿಸಬಹುದು
crop,ಬೆಳೆ
modern,ಆಧುನಿಕ
element,ಅಂಶ
hit,ಹಿಟ್
student,ವಿದ್ಯಾರ್ಥಿ
corner,ಮೂಲಕ
party,ಪಕ್ಷ
supply,ಸರಬರಾಜು
bone,ಮೂಳೆ
rail,ರೈಲು
imagine,ವಾಗಿಸು
provide,ಒದಗಿಸು
agree,ಒಪ್ಪಿಸು
thus,ಹೀಗೆ
capital,ಬಂಡವಾಳ
won't,ಆಗುವುದಿಲ್ಲ
chair,ಅಧ್ಯಕ್ಷ
danger,ಅಪಾಯ
fruit,ಹಣ್ಣು
rich,ಶ್ರೀಮಂತ
thick,ದಟ್ಟವಾದ
soldier,ಸೈನಿಕ
process,ಪ್ರಕ್ರಿಯೆ
operate,ಕಾರ್ಯ ಮಾಡು
guess,guessೇರು
necessary,ಅಗತ್ಯವಾದ
sharp,ತೀಕ್ಷ್ಣವಾದ
wing,ರೆಕ್ಕೆ
create,ರಚಿಸು
neighbor,ನೆರೆಯ
wash,ತೊಳೆ
bat,ಬಾವೆ
rather,ಬದಲಾಗಿ
crowd,ಗುಂಪು
corn,ಜೋಳ
compare,ಹೋಲಿಸು
poem,ಕವಿತೆ
string,ದಾರ
bell,ಗಂಟೆ
depend,ಅವಲಂಬಿಸು
meat,ಮಾಂಸ
rub,ಉಜ್ಜಿಕೊಳ್ಳಿ
tube,ಕೊಳವೆ
famous,ಖ್ಯಾತ
dollar,ಡಾಲರ್
stream,ತಳ
fear,ಭಯ
sight,ನೋಟ
thin,ತೆಳುವಾದ
triangle,ತ್ರಿಕೋನ
planet,ಗ್ರಹ
hurry,ಅವದಯಿಸು
chief,ಮುಖ್ಯಸ್ಥ
colony,ವಸಾಹತು
clock,ಗಡಿಯಾರ
mine,ಗಣಿ
tie,ಕಟ್ಟು
enter,ಪ್ರವೇಶಿಸು
major,ಪ್ರಮುಖ
fresh,ತಾಜಾವಾದ
search,ಹುಡುಕಿ Kannada
send,ಕಳುಹಿಸು
yellow,ಹಳದಿ
gun,ಬಂದೂಕು
allow,ಅನುಮತಿಸು
print,ಮುದ್ರಿಸಿ
dead,ಸತ್ತ
spot,ತಾಣ
desert,ಮರುಭೂಮಿ
suit,ಸೂಟ್
current,ಪ್ರಸ್ತುತ
lift,ಮೇಲಕ್ಕೆತ್ತಿ
rose,ಗುಲಾಬಿ
continue,ಮುಂದುವರಿಸು
block,ನಿರ್ಬಂಧ
chart,ಪಟ್ಟಿ
hat,ಟೋಪಿ
sell,ಮಾರಾಟ
success,ಯಶಸ್ಸು
company,ಸಮೀಪದೃಷ್ಟಿ
subtract,ಕಳೆಯಿರಿ
event,ಘಟನೆ
particular,ನಿರ್ದಿಷ್ಟ
deal,ಒಪ್ಪಂದ
swim,ಈಜು
term,ಪದ
opposite,ವಿರುದ್ದ
wife,ಹೆಂಡತಿ
shoe,ದಣಿ
shoulder,ಭುಜ
spread,ಹರಡು
arrange,ವ್ಯವಸ್ಥೆ ಮಾಡು
camp,ಶಿಬಿರ
invent,ಆವಿಷ್ಕಾರ
cotton,ಹತ್ತಿ
born,ಹುಟ್ಟು
determine,ನಿರ್ಧರಿಸು
quart,ಕಾಲುಭಾಗ
nine,ಒಂಬತ್ತು
truck,ದಳ
noise,ಶಬ್ದ
level,ಸಮಾಧಿ
chance,ಅವಕಾಶ
gather,ಒಟ್ಟುಗೂಡಿಸು
shop,ಅಂಗಡಿ
stretch,ಹಿಗ್ಗಿಸು
throw,ಎಸೆತ
shine,ಹೊಳೆಯು
property,ಆಸ್ತಿ
column,ಕಾಲಮ್
molecule,ಅಣಕ
select,ಆಯ್ಕೆ ಮಾಡಿ
wrong,ತಪ್ಪು
gray,ಬೂದು
repeat,ಪುನರಾವರ್ತಿಸು
require,ಅಗತ್ಯ
broad,ಅಗಲವಾದ
prepare,ತಯಾರು
salt,ಉಪ್ಪು
nose,ಮೂಗು
plural,ಬಹುವಚನ
anger,ಕೋಪ
claim,ಹಕ್ಕು
continent,ಖಂಡ
oxygen,ಆಮ್ಲಜನಕ
sugar,ಸಕ್ಕರೆ
death,ಸಾವು
pretty,ಸುಂದರ
skill,ಕೌಶಲ್ಯ
women,ಮಹಿಳೆಯರು
season,ಕಾಲ
solution,ಪರಿಹಾರ
magnet,ಕಾಂತ
silver,ಬೆಳ್ಳಿ
thank,ಧನ್ಯವಾದಗಳು
branch,ಕೊಂಬ
match,ಪಂದ್ಯ
suffix,ಪ್ರತ್ಯಯ
especially,ವಿಶೇಷವಾಗಿ
fig,ಅಂಜೂರ
afraid,ಆತಂಕದ
huge,ದೊಡ್ಡ
sister,ಸೋದರಿ
steel,ಉಕ್ಕು
discuss,ಚರ್ಚಿಸು
forward,ಮುಂದೆ
similar,ಒಂದೇ ರೀತಿಯ
guide,ಮಾರ್ಗದರ್ಶಿ
